ID,Name,Is_a_Metabolite,Has_a_Metabolite,Route,vd,Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),Solubility,No_of_H-bond_donors,No_of_H-bond_acceptors,Molecular_Weight,LogP,Meets
563,AMIODARONE,,0,ORAL INJECTION,3900,21.4,1392,96,50,40,NANOMOLAR,5,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,4,645.319,6.9362,FALSE
564,ENALAPRIL,,1396,ORAL,0,0,0,0,60,0,NaN,0,NaN,1,6,375.445,0.2699,TRUE
565,BEPRIDIL,,0,ORAL,0,0,42,99,0,6.8,MICROMOLAR,0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,3,366.549,4.8302,TRUE
566,LEUPROLIDE,,0,INJECTION INTRAMUSCULAR IMPLANTATION SUBCUTANEOUS ORAL,27,7.6,3,46,0,8.6,NANOMOLAR,4,NaN,16,13,1210.429,-3.0481,FALSE
567,GUANFACINE,,0,ORAL,364,17.5,16,70,0,10.1,NANOMOLAR,3,SOLUBILITY SPARINGLY SOLUBLE IN WATER,2,1,246.097,1.3359,TRUE
568,HYDROMORPHONE,16,0,INJECTION ORAL,302.9,117.6,2.3,13,0,20,NANOMOLAR,0.73,SOLUBILITY FREELY SOLUBLE IN WATER,1,4,285.343,1.6303,TRUE
569,TERAZOSIN,,0,ORAL,58,4,12,99,0,0,NaN,1,SOLUBILITY FREELY SOLUBLE IN WATER,1,8,387.44,1.0568,TRUE
570,ESTAZOLAM,,0,ORAL,0,0,17,93,0,0,NaN,2,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,4,294.745,3.2717,TRUE
571,DEZOCINE,,0,INJECTION,390,97.5,4,91.6,0,2.1,MICROMOLAR,0.03,NaN,2,2,245.366,3.1136,TRUE
572,IPRATROPIUM,,0,INHALATION NASAL,0.43,0.15,2,9,3,NOT,DETECTABLE,0,SOLUBILITY FREELY SOLUBLE IN WATER,1,3,332.464,2.8541,TRUE
573,PROPAFENONE,,0,ORAL,252,57,21,95,12,0,NaN,3.5,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,2,4,341.451,3.2414,TRUE
574,METHACHOLINE,,0,INHALATION,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,0,2,160.237,0.6442,TRUE
575,TRIENTINE,,0,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,4,4,146.238,-1.917,TRUE
576,DICLOFENAC,,0,ORAL OPHTHALMIC TOPICAL INTRAVENOUS,91,34.9,2.3,99,50,8,MICROMOLAR,2.3,SOLUBILITY SPARINGLY SOLUBLE IN WATER,1,3,295.145,3.0294,TRUE
577,MISOPROSTOL,,596  1701,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,2,5,382.541,3.9536,TRUE
578,CARTEOLOL,,0,ORAL OPHTHALMIC,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,3,4,292.379,1.6991,TRUE
579,LEVOBUNOLOL,,0,OPHTHALMIC,0,0,0,0,0,0,NaN,4,NaN,2,4,291.391,2.3334,TRUE
580,MISOPROSTOL,,596  1701,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,2,5,382.541,3.9536,TRUE
581,LEVOBETAXOLOL,,0,OPHTHALMIC ORAL,312,13.26,18,50,89,70.3,NANOMOLAR,3,SOLUBILITY SOLUBLE IN WATER,2,4,307.434,2.3934,TRUE
582,TRANEXAMIC ACID,,0,ORAL INJECTION INTRAVENOUS,25.3,6.7,11,3,45,104,MICROMOLAR,3,SOLUBILITY FREELY SOLUBLE IN WATER,1,3,156.205,-0.4986,TRUE
583,MITOXANTRONE,,0,INJECTION,1610,30.8,53,78,0,0,NaN,0,NaN,8,10,444.488,-0.1392,FALSE
584,FENOFIBRATE,,1486,ORAL,0,0,0,0,60,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,0,4,360.837,4.68,TRUE
585,CLOBETASOL PROPIONATE,,0,TOPICAL,0,0,0,0,0,0.12,NANOMOLAR,0,SOLUBILITY INSOLUBLE IN WATER,1,5,466.977,4.1031,TRUE
586,SELEGILINE,,0,ORAL TRANSDERMAL,123.5,84,2,90,0,0,NaN,0,SOLUBILITY FREELY SOLUBLE IN WATER,0,1,187.286,2.1826,TRUE
587,ALFENTANIL,,0,INJECTION,45.5,19.5,1.6,92,0,769,NANOMOLAR,0,NaN,0,8,416.526,1.3839,TRUE
588,NAFTIFINE,,0,TOPICAL,0,0,0,0,0,38.3,NANOMOLAR,8,NaN,0,1,287.406,4.985,TRUE
589,ETHANOLAMINE OLEATE,,0,INJECTION,0,0,0,0,0,0,NaN,0,NaN,1,3,325.537,5.5258,FALSE
590,ETRETINATE,,637,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,3,354.49,5.64556,FALSE
591,NORFLOXACIN,,0,ORAL OPHTHALMIC,0,0,3.5,0,35,7.5,MICROMOLAR,1,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,1,6,318.328,-0.0664,TRUE
592,PERGOLIDE,,0,ORAL,14000,462,21,90,0,0,NaN,2.5,NaN,1,2,314.498,4.2711,TRUE
593,ESMOLOL,,0,INJECTION INTRAVENOUS,78,1300,0.15,55,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,2,5,295.379,1.5299,TRUE
594,SUPROFEN,,0,OPHTHALMIC,2.6,2.96,2.1,99,0,0,NaN,0,NaN,0,4,259.306,1.8325,TRUE
595,PINACIDIL,,0,ORAL,91,31.5,2,0,57,408,MICROMOLAR,0,NaN,2,3,245.33,2.35478,TRUE
596,M MISOPROSTOL,577  580,0,,0,0,0.5,90,0,2.2,NANOMOLAR,0.2,NaN,2,5,367.506,2.5305,TRUE
597,ISRADIPINE,,0,ORAL,195,84,8,95,19.5,53.9,NANOMOLAR,1.5,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,8,371.393,2.5822,TRUE
598,PINACIDIL,,0,ORAL,91,31.5,2,0,57,408,MICROMOLAR,0,NaN,2,3,245.33,2.35478,TRUE
599,FAMOTIDINE,,0,ORAL INJECTION,84.5,25.3,2.8,17,45,181,NANOMOLAR,2,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,4,6,337.456,-0.768,TRUE
600,GLUCONOLACTONE,,0,IRRIGATION,0,0,0,0,0,0,NaN,0,NaN,4,6,178.14,-3.0132,TRUE
601,NICARDIPINE,,0,ORAL INJECTION INTRAVENOUS,539,26,4.1,95,35,277,NANOMOLAR,1,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,1,8,479.533,3.6778,TRUE
602,CLOFAZIMINE,,0,ORAL,0,0,1680,0,53,2.1,MICROMOLAR,10,SOLUBILITY INSOLUBLE IN WATER,1,4,473.407,7.4898,FALSE
603,NIZATIDINE,,0,ORAL,74.7,50,1.5,35,70,10.8,MICROMOLAR,1.75,SOLUBILITY SOLUBLE IN WATER,2,8,331.467,1.3225,TRUE
604,CIPROFLOXACIN,,0,ORAL INJECTION OPHTHALMIC OTIC,156,35,4,30,70,16.3,MICROMOLAR,1.5,NaN,1,6,330.339,0.2486,TRUE
605,MOMETASONE,44,0,,0,0,0,0,0,0,NaN,0,NaN,2,4,427.368,3.4115,TRUE
606,ISRADIPINE,,0,ORAL,195,84,8,95,19.5,53.9,NANOMOLAR,1.5,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,8,371.393,2.5822,TRUE
607,LISINOPRIL,,0,ORAL,57.8,4.6,42,0,25,0,NaN,7,SOLUBILITY SOLUBLE IN WATER,2,7,403.479,-1.4342,TRUE
608,PREDNICARBATE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,8,488.577,3.6993,TRUE
609,MEFLOQUINE,,0,ORAL,1300,1.8,504,98,85,5.29,MICROMOLAR,17,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,2,3,378.316,4.4479,TRUE
610,TERCONAZOLE,,0,VAGINAL,0,0,6.9,94.9,16,11,NANOMOLAR,6.6,SOLUBILITY INSOLUBLE IN WATER,0,8,532.472,4.4627,FALSE
611,NABUMETONE,,1700,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,2,228.291,3.37,TRUE
612,URSODIOL,,0,ORAL,0,0,0,70,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,2,4,391.572,3.1432,TRUE
613,KETOROLAC,,0,ORAL INJECTION OPHTHALMIC NASAL IRRIGATION,13,13.6,2.5,99,100,9.3,MICROMOLAR,0.75,SOLUBILITY SOLUBLE IN WATER,0,4,254.265,0.9563,TRUE
614,ENOXACIN,,0,ORAL,130,21,4.5,40,90,6.2,MICROMOLAR,2,NaN,1,7,319.316,-0.6714,TRUE
615,PROPOFOL,1454,0,INJECTION,305,150,3.2,98,0,21.9,MICROMOLAR,0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,1,1,178.275,3.639,TRUE
616,LOVASTATIN,,1699,ORAL,0,0,4.5,95,30,19.3,NANOMOLAR,2,SOLUBILITY INSOLUBLE IN WATER,1,5,404.547,4.1955,TRUE
617,KETOROLAC,,0,ORAL INJECTION OPHTHALMIC NASAL IRRIGATION,13,13.6,5,99,100,9.3,MICROMOLAR,0.75,SOLUBILITY SOLUBLE IN WATER,0,4,254.265,0.9563,TRUE
618,RIMANTADINE,,0,ORAL,219,3.9,39,40,0,510,NANOMOLAR,0,SOLUBILITY SOLUBLE IN WATER (50 MILLIGRAM / MILLILITER),1,1,179.307,2.55,TRUE
619,NORGESTIMATE,,380  1423  531,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,4,369.505,4.7145,TRUE
620,ZIDOVUDINE,,0,ORAL INJECTION,104,104,1.75,38,60,0,NaN,1,SOLUBILITY OF 20.1 MILLIGRAM / MILLILITER IN WATER AT 25 DEGREE C,2,6,267.245,-0.19628,TRUE
621,LORATADINE,,865,ORAL,0,0,8.4,98,0,10,NANOMOLAR,1.3,SOLUBILITY NOT SOLUBLE IN WATER,0,3,382.891,4.8878,TRUE
622,NEDOCROMIL,,0,INHALATION OPHTHALMIC,0,39.7,0.08,0,4,0,NaN,0,NaN,0,8,369.329,-0.1927,TRUE
623,GANCICLOVIR,861  882,1645  1646,INJECTION ORAL IMPLANTATION OPHTHALMIC INTRAVENOUS,45.7,11.9,3.81,1,0,26.7,MICROMOLAR,2,SOLUBILITY APPROXIMATELY 6 MILLIGRAM / MILLILITER AT 37 DEGREE CELSIUS,4,8,255.234,-1.9709,TRUE
624,INDECAINIDE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,2,2,308.425,3.2166,TRUE
625,OLSALAZINE,,1399,ORAL,4.5,4.6,0.9,99,2.4,6.2,MICROMOLAR,1,SOLUBILITY SOLUBLE IN WATER,2,8,300.226,-1.6612,TRUE
626,OFLOXACIN,,0,ORAL OPHTHALMIC INJECTION OTIC,104,9.7,4.5,32,98,8,MICROMOLAR,1.5,SOLUBILITY SLIGHTLY SOLUBLE IN AQUEOUS SOLUTIONS WITH PH 7,0,7,360.365,0.2093,TRUE
627,MORICIZINE,,0,ORAL,300,150,1.9,93.5,36,2.3,MICROMOLAR,0.8,NaN,1,6,427.526,4.1066,TRUE
628,CLOZAPINE,,0,ORAL,104,9.7,8,97,0,977,NANOMOLAR,2.5,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,1,4,326.831,2.0299,TRUE
629,IFOSFAMIDE,,0,INJECTION INTRAVENOUS,40.3,4.2,6.6,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,1,2,261.089,1.884,TRUE
630,MESNA,,1698,INJECTION INTRAVENOUS ORAL,42.3,79.9,0.36,0,58,0,NaN,2.25,NaN,2,3,142.201,-0.196,TRUE
631,SIMVASTATIN,,1697,ORAL,0,0,4.5,95,5,0,NaN,4,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,5,418.574,4.5856,TRUE
632,APRACLONIDINE,,0,OPHTHALMIC,0,0,8,0,0,3.6,NANOMOLAR,2,SOLUBILITY HIGHLY SOLUBLE IN WATER,3,4,245.113,1.9467,TRUE
633,LEVAMLODIPINE,,0,ORAL,1365,27.3,40,93,77,0,NaN,8,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,2,7,408.882,2.2663,TRUE
634,PODOFILOX,,0,TOPICAL,0,0,2.7,0,0,41,NANOMOLAR,0,SOLUBILITY SPARINGLY SOLUBLE IN WATER,1,8,414.41,2.4092,TRUE
635,OMEPRAZOLE,,0,ORAL INTRAVENOUS,16,33,0.75,95,35,4.09,MICROMOLAR,2,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,1,5,345.424,2.89974,TRUE
636,MIDODRINE,,176  360,ORAL,0,0,0.4,0,100,0,NaN,0.5,SOLUBILITY SOLUBLE IN WATER,3,5,254.286,-0.1879,TRUE
637,ACITRETIN,590,0,ORAL,0,0,49,99.9,72,1.27,MICROMOLAR,2.7,NaN,0,3,325.428,3.83236,TRUE
638,OXICONAZOLE,,0,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,0,4,429.134,6.1178,FALSE
639,FELODIPINE,,0,ORAL,650,48,14,99,20,2,NANOMOLAR,4.5,SOLUBILITY INSOLUBLE IN WATER,1,5,384.259,3.9643,TRUE
640,CETIRIZINE,,0,ORAL OPHTHALMIC INTRAVENOUS,26,2.4,8,91,0,0.79,MICROMOLAR,2.2,SOLUBILITY VERY SOLUBLE IN WATER,0,5,387.887,1.8135,TRUE
641,SERTRALINE,,0,ORAL,0,0,26,98,0,464,NANOMOLAR,6.4,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,1,1,306.236,5.1796,FALSE
642,DAPIPRAZOLE,,0,OPHTHALMIC,0,0,5,0,0,0,NaN,0,NaN,0,5,325.46,2.28752,TRUE
643,BENAZEPRIL,,1696,ORAL,0,0,0,96.7,37,0,NaN,0.75,SOLUBILITY SOLUBLE IN WATER,1,6,423.489,1.2384,TRUE
644,PENICILLAMINE,,0,ORAL,0,0,4.3,80,55,10,MICROMOLAR,2,SOLUBILITY FREELY SOLUBLE IN WATER,2,4,148.207,-1.228,TRUE
645,SOTALOL,,0,ORAL INTRAVENOUS,84.5,7.8,12,0,95,0,NaN,3,SOLUBILITY SOLUBLE IN WATER,3,4,272.37,1.0895,TRUE
646,SOTALOL,,0,ORAL INTRAVENOUS,84.5,7.8,12,0,95,0,NaN,3,SOLUBILITY SOLUBLE IN WATER,3,4,272.37,1.0895,TRUE
647,QUINAPRIL,,1695,ORAL,0,0,0,97,60,0,NaN,1,SOLUBILITY FREELY SOLUBLE IN WATER,1,6,437.516,1.2324,TRUE
648,PRAVASTATIN,,0,ORAL,29.9,54.6,1.8,50,17,62.5,NANOMOLAR,1.25,SOLUBILITY SOLUBLE IN WATER,3,7,423.526,1.1057,TRUE
649,RAMIPRIL,,1694,ORAL,0,0,0,73,28,0,NaN,1,NaN,1,6,415.51,1.0485,TRUE
650,CLOMIPRAMINE,,1693,ORAL,845,31.9,32,97,0,693,NANOMOLAR,4,SOLUBILITY FREELY SOLUBLE IN WATER,0,2,314.86,4.5284,TRUE
651,METIPRANOLOL,,0,OPHTHALMIC,0,0,0,0,0,0,NaN,0,NaN,2,5,309.406,2.27486,TRUE
652,ZOLPIDEM,,0,ORAL SUBLINGUAL,31.5,16.7,2.5,92.5,0,394,NANOMOLAR,1.6,SOLUBILITY SPARINGLY SOLUBLE IN WATER,0,3,307.397,3.24884,TRUE
653,FOSINOPRIL,,1692,ORAL,0,0,0,0,36,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,0,7,562.664,4.7866,FALSE
654,ALTRETAMINE,,0,ORAL,0,0,0,94,0,99,MICROMOLAR,1.5,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,6,210.285,0.0696,TRUE
655,ADENOSINE,,0,INJECTION INTRAVENOUS,0,0,0,0,0,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,4,9,267.245,-1.98,TRUE
656,MASOPROCOL,,0,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY LIMITED WATER SOLUBILITY,4,4,302.37,3.5664,TRUE
657,DOXACURIUM,,0,INJECTION,14.3,9.8,1.6,47,0,0,NaN,0,NaN,0,16,1035.238,7.7098,FALSE
658,FLUCONAZOLE,,0,ORAL INJECTION,48.7,0.9,30,60,90,21.9,MICROMOLAR,1.5,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,1,7,306.276,0.7358,TRUE
659,FLUTICASONE PROPIONATE,,0,TOPICAL NASAL INHALATION,273,65.5,10,91,0,0.44,NANOMOLAR,0,SOLUBILITY INSOLUBLE IN WATER,1,6,500.579,4.43,FALSE
660,HALOBETASOL PROPIONATE,,1691,TOPICAL,0,0,0,0,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,1,5,484.967,4.0511,TRUE
661,TICLOPIDINE,,1689  1690,ORAL,0,0,108,98,80,0,NaN,2,SOLUBILITY FREELY SOLUBLE IN WATER,0,2,263.793,3.9598,TRUE
662,BISOPROLOL,,0,ORAL,156,14.4,10,30,80,0.21,MICROMOLAR,3,SOLUBILITY SOLUBLE IN WATER,2,5,325.449,2.3659,TRUE
663,SUCCIMER,,0,ORAL,0,0,48,95,20,0,NaN,1.5,NaN,2,6,180.206,-2.917,TRUE
664,ONDANSETRON,,0,INJECTION ORAL,107,24.7,3.5,73,0,0.34,MICROMOLAR,0,SOLUBILITY SOLUBLE IN WATER,0,4,293.37,3.12852,TRUE
665,LOMEFLOXACIN,,0,ORAL,97,8.7,7.75,10,97,9.1,MICROMOLAR,0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,1,6,350.345,0.4612,TRUE
666,PAROXETINE,,0,ORAL,1170,70.2,21,94,0,187,NANOMOLAR,5.2,SOLUBILITY OF 5.4 MILLIGRAM / MILLILITER IN WATER,1,4,329.371,3.3265,TRUE
667,PHENIRAMINE,,0,OPHTHALMIC,0,0,0,0,0,0,NaN,0,NaN,0,2,240.35,3.1652,TRUE
668,LEVAMISOLE,,0,ORAL,0,0,0,0,0,0,NaN,0,NaN,0,3,204.298,2.1461,TRUE
669,FLUDARABINE PHOSPHATE,,1688,INJECTION ORAL,0,0,0,0,0,0,NaN,0,NaN,3,12,363.198,-2.9879,FALSE
670,TYLOXAPOL,,0,INTRATRACHEAL,0,0,0,0,0,0,NaN,0,NaN,1,1,206.329,4.106,TRUE
671,ITRACONAZOLE,,0,ORAL INJECTION,796,22.8,64,99.8,55,3.2,MICROMOLAR,4.6,SOLUBILITY INSOLUBLE IN WATER,0,12,705.647,5.5773,FALSE
672,AZELASTINE,,0,NASAL OPHTHALMIC,942,32.5,22,88,40,0,NaN,2.5,SOLUBILITY SPARINGLY SOLUBLE IN WATER,0,4,381.907,4.2975,TRUE
673,PHENIRAMINE,,0,OPHTHALMIC,0,0,0,0,0,0,NaN,0,NaN,0,2,240.35,3.1652,TRUE
674,FOSCARNET,,0,INJECTION,33.8,7.1,3.3,16,0,623,MICROMOLAR,0,NaN,0,5,122.98,-2.7566,TRUE
675,TACRINE,,0,ORAL,349,218,3,55,17,0,NaN,1.5,SOLUBILITY FREELY SOLUBLE IN DISTILLED WATER,1,2,198.269,2.6958,TRUE
676,DESOGESTREL,,866,ORAL,0,0,0,0,84,0,NaN,0,NaN,1,1,310.481,4.8697,TRUE
677,FLUMAZENIL,,0,INJECTION,65,58.5,1,50,0,79,NANOMOLAR,0,SOLUBILITY INSOLUBLE IN WATER,0,5,303.293,1.7737,TRUE
678,ITRACONAZOLE,,0,ORAL INJECTION,796,22.8,64,99.8,55,3.2,MICROMOLAR,4.6,SOLUBILITY INSOLUBLE IN WATER,0,12,705.647,5.5773,FALSE
679,MIVACURIUM,,0,INTRAVENOUS INJECTION,9.5,206,0.03,30,0,0,NaN,0,NaN,0,14,1029.278,9.029,FALSE
680,AZELASTINE,,0,NASAL OPHTHALMIC,942,32.5,22,88,40,0,NaN,2.5,SOLUBILITY SPARINGLY SOLUBLE IN WATER,0,4,381.907,4.2975,TRUE
681,DESFLURANE,,0,INHALATION,0,0,0,0,0,0,NaN,0,NaN,0,1,168.036,2.0835,TRUE
682,TENIPOSIDE,,0,INJECTION,41,0.99,5,99,0,0,NaN,0,SOLUBILITY INSOLUBLE IN WATER,3,14,656.662,2.7529,FALSE
683,PENTOSTATIN,,0,INJECTION,37,6.5,6,3.8,0,1.7,MICROMOLAR,0,NaN,4,8,268.273,-0.989,TRUE
684,BUDESONIDE,,0,NASAL INHALATION ORAL RECTAL,195,72,2.5,87.5,9,2.6,NANOMOLAR,1.5,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (LOGP=1.6),2,6,430.541,2.7168,TRUE
685,VENLAFAXINE,,1432  1433,ORAL,487,84.5,5,27,92,812,NANOMOLAR,2,SOLUBILITY 572 MILLIGRAM / MILLILITER IN WATER (LOGP 0.43),1,3,277.408,3.0356,TRUE
686,VENLAFAXINE,,1432  1433,ORAL,487,84.5,5,27,92,812,NANOMOLAR,2,SOLUBILITY 572 MILLIGRAM / MILLILITER IN WATER (LOGP 0.43),1,3,277.408,3.0356,TRUE
687,NEFAZODONE,,0,ORAL,35.4,29.2,3,99,20,0,NaN,1,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,7,470.017,3.5519,TRUE
688,DIDANOSINE,,1686,ORAL,70.3,50,1.5,5,42,0,NaN,0.8,SOLUBILITY IN WATER 27.3 MILLIGRAM / MILLILITER (PH=6),2,6,236.231,-0.2105,TRUE
689,ALATROFLOXACIN,,1276,INJECTION,0,0,0,0,0,0,NaN,0,NaN,3,9,557.509,-0.4308,FALSE
690,NILUTAMIDE,,0,ORAL,0,0,45,82,100,0,NaN,0,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,1,4,317.223,2.4484,TRUE
691,FINASTERIDE,,0,ORAL,76,9.9,6,90,63,99.4,NANOMOLAR,1.5,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,2,2,372.553,3.8145,TRUE
692,PERINDOPRIL,,1685,ORAL,0,0,0.9,60,75,0,NaN,1,SOLUBILITY FREELY SOLUBLE IN WATER,1,6,367.466,0.6059,TRUE
693,FELBAMATE,,0,ORAL,49.1,1.6,21.5,25,90,0,NaN,0,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,2,4,238.243,0.9608,TRUE
694,TERBINAFINE,,0,TOPICAL ORAL,818,27,21,99,70,23.5,NANOMOLAR,2,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,1,291.438,4.8773,TRUE
695,ZALCITABINE,,1684,ORAL,34.7,17.1,2,0,80,119.4,NANOMOLAR,0.8,SOLUBILITY 76.4 MILLIGRAM / MILLILITER IN WATER,2,6,211.221,-0.5046,TRUE
696,CISAPRIDE,,0,ORAL,180,6,4,98,37.5,0,NaN,1.25,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,2,6,465.953,3.3581,TRUE
697,DEXRAZOXANE,,0,INJECTION,35.4,10,2.1,0,0,0,NaN,0,SOLUBILITY SPARINGLY SOLUBLE IN WATER,2,6,268.273,-2.7083,TRUE
698,LEVOCABASTINE,,0,OPHTHALMIC,0,0,0,0,0,0,NaN,0,NaN,0,4,419.52,3.55938,TRUE
699,AMIFOSTINE,,1683,INJECTION,7,120,0.13,0,0,200,MICROMOLAR,0,SOLUBILITY FREELY SOLUBLE IN WATER,2,6,212.211,-1.5133,TRUE
700,CANDESARTAN CILEXETIL,,1557,ORAL,0,0,0,0,0,0,NaN,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,11,610.671,6.3191,FALSE
701,CLADRIBINE,,1682,INJECTION ORAL,292.5,63.5,5.4,20,0,0,NaN,0,NaN,3,8,285.691,-0.2974,TRUE
702,TRICLOSAN,,0,DENTAL,0,0,0,0,0,0,NaN,0,NaN,1,2,289.545,5.1447,FALSE
703,BUDESONIDE,,0,NASAL INHALATION ORAL RECTAL,195,72,2.5,87.5,9,2.6,NANOMOLAR,1.5,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (LOGP=1.6),2,6,430.541,2.7168,TRUE
704,GABAPENTIN,1507  1508,0,ORAL,76,7.6,5.5,3,75,16.26,MICROMOLAR,0,SOLUBILITY FREELY SOLUBLE IN WATER,1,3,170.232,0.0356,TRUE
705,GRANISETRON,,0,INJECTION ORAL TRANSDERMAL SUBCUTANEOUS,197,51.3,4.9,65,0,206,NANOMOLAR,0,SOLUBILITY READILY SOLUBLE IN WATER,1,4,312.417,2.3184,TRUE
706,SPIRAPRIL,,1681,ORAL,0,0,0,0,0,0,NaN,0,NaN,1,8,465.617,1.0561,TRUE
707,LAMOTRIGINE,,0,ORAL,71.5,2.2,25.4,55,98,0,NaN,1.7,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER (0.17 MILLIGRAM / MILLILITER),2,5,256.096,2.0098,TRUE
708,FLUVOXAMINE,,0,ORAL,1625,72,15.6,80,53,1.71,MICROMOLAR,5.5,SOLUBILITY SPARINGLY SOLUBLE IN WATER,1,4,318.339,3.2015,TRUE
709,HALOFANTRINE,,0,ORAL,0,0,192,0,0,9.8,MICROMOLAR,0,SOLUBILITY PRATICALLY INSOLUBLE IN WATER,1,2,500.432,8.6443,FALSE
710,ATOVAQUONE,,0,ORAL,39,0.6,62.5,99.9,47,41.2,MICROMOLAR,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,3,366.844,5.3485,FALSE
711,FLUVASTATIN,,0,ORAL,22.7,5.2,3,98,24,0,NaN,1,SOLUBILITY SOLUBLE IN WATER,2,5,410.465,3.2934,TRUE
712,PACLITAXEL,,0,INJECTION INTRAVENOUS,736,19.6,20.2,93,0,4.3,MICROMOLAR,0,SOLUBILITY INSOLUBLE IN WATER,4,14,853.918,3.7357,FALSE
713,RISPERIDONE,,949  1205,ORAL INTRAMUSCULAR SUBCUTANEOUS,97.5,21,3,90,70,0,NaN,1,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,6,410.493,3.59042,TRUE
714,TRAMADOL,,1674  1676  1678  1680,ORAL,188,23,6.7,20,75,2.25,MICROMOLAR,2.3,SOLUBILITY READILY SOLUBLE IN WATER (LOGP=1.35),1,3,263.381,2.6346,TRUE
715,CARVEDILOL,,0,ORAL,115,36,8.5,98,30,0,NaN,0,SOLUBILITY PRATICALLY INSOLUBLE IN WATER,3,5,406.482,3.738,TRUE
716,MOEXIPRIL,,1673,ORAL,0,26.4,0,0,13,0,NaN,0,SOLUBILITY SOLUBLE IN WATER,1,8,497.568,1.2496,TRUE
717,ANAGRELIDE,,0,ORAL,0,0,1.5,0,70,0,NaN,1,SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER,1,3,256.092,1.9263,TRUE
718,ADAPALENE,,0,TOPICAL,0,0,17.2,0,0,1.1,NANOMOLAR,0,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,0,3,411.521,5.3467,FALSE
719,MIRTAZAPINE,,0,ORAL,273,31.2,30,85,50,0,NaN,2,SOLUBILITY SLIGHTLY SOLUBLE IN WATER,0,3,265.36,2.4789,TRUE
720,NISOLDIPINE,,0,ORAL,357,58.5,9.5,99,5,0,NaN,9,SOLUBILITY PRACTICALLY INSOLUBLE IN WATER,1,7,388.42,3.2018,TRUE
721,METFORMIN,,0,ORAL,654,28.8,17.6,0,55,13.9,MICROMOLAR,7,SOLUBILITY FREELY SOLUBLE IN WATER,4,1,130.175,-2.85383,TRUE
